B1_x,B1_y,B2_x,B2_y,B3_x,B3_y,B4_x,B4_y,B5_x,B5_y
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1.0,0.999933552,2.78,0.999832121,6.84,0.999618322,16.0,0.999197367,34.0,0.998412884
21.0,0.994704695,30.58,0.993452085,34.2,0.994392905,64.0,0.991420908,102.0,0.9890671
41.0,0.989412663,58.379999999999995,0.986749852,61.56,0.988281033,112.0,0.981953891,170.0,0.977099031
61.0,0.984227915,86.17999999999999,0.980173473,88.92,0.98221836,160.0,0.972501382,238.0,0.964826257
81.0,0.97914022,113.97999999999999,0.97371551,116.28,0.976231953,208.0,0.963189153,306.0,0.952677657
101.0,0.974143156,141.78,0.967367443,143.64,0.970320841,256.0,0.954022454,374.0,0.94072296
121.0,0.969230605,169.57999999999998,0.961125317,171.0,0.964482252,304.0,0.944997809,442.0,0.92897037
141.0,0.964396634,197.38,0.954981938,198.35999999999999,0.958713268,352.0,0.93611126,510.0,0.917417674
161.0,0.959635211,225.17999999999998,0.948932583,225.72,0.953013118,400.0,0.927358089,578.0,0.906060916
181.0,0.954941697,252.98,0.942972914,253.07999999999998,0.947380021,448.0,0.918735215,646.0,0.894895608
201.0,0.950311589,280.78,0.937099703,280.44,0.941812331,496.0,0.910239718,714.0,0.88391726
221.0,0.945744542,308.58,0.931308912,307.8,0.936307853,544.0,0.901868724,782.0,0.873121704
241.0,0.941236771,336.38,0.925597759,335.15999999999997,0.930865322,592.0,0.893619082,850.0,0.862505095
261.0,0.936783265,364.17999999999995,0.919965123,362.52,0.92548398,640.0,0.885487894,918.0,0.852063766
281.0,0.932381036,391.97999999999996,0.914408301,389.88,0.920162236,688.0,0.877472574,986.0,0.841793605
301.0,0.928029737,419.78,0.908924388,417.24,0.914898572,736.0,0.86956895,1054.0,0.831690554
321.0,0.923728932,447.58,0.903509695,444.59999999999997,0.909691284,784.0,0.861774721,1122.0,0.821750695
341.0,0.919475011,475.37999999999994,0.898161525,471.96,0.904539478,832.0,0.854087152,1190.0,0.81197079
361.0,0.915268764,503.17999999999995,0.89287851,499.32,0.89944189,880.0,0.846504072,1258.0,0.802347403
381.0,0.911107644,530.98,0.887657498,526.68,0.894397254,928.0,0.839022665,1326.0,0.792877458
401.0,0.906990823,558.78,0.882497039,554.04,0.889405097,976.0,0.831640819,1394.0,0.783557669
421.0,0.902915058,586.5799999999999,0.877394436,581.4,0.884463571,1024.0,0.824357012,1462.0,0.774383968
441.0,0.898880304,614.38,0.872348549,608.76,0.87957136,1072.0,0.817169272,1530.0,0.765352208
461.0,0.894884686,642.18,0.867358009,636.12,0.87472661,1120.0,0.810075289,1598.0,0.756459039
481.0,0.890926207,669.9799999999999,0.86242143,663.48,0.869928062,1168.0,0.803072186,1666.0,0.747701722
501.0,0.887005247,697.78,0.85753882,690.84,0.865174781,1216.0,0.7961572,1734.0,0.739076886
521.0,0.883121034,725.5799999999999,0.852709781,718.1999999999999,0.860466692,1264.0,0.78932944,1802.0,0.730581677
541.0,0.879273455,753.38,0.847931563,745.56,0.855803003,1312.0,0.782586645,1870.0,0.722213375
561.0,0.875461497,781.18,0.843202295,772.92,0.851182554,1360.0,0.775926701,1938.0,0.713969971
581.0,0.87168451,808.9799999999999,0.838519715,800.28,0.846604117,1408.0,0.769348315,2006.0,0.705849056
601.0,0.867941529,836.78,0.833884586,827.64,0.842067273,1456.0,0.762849854,2074.0,0.69784779
621.0,0.86423179,864.5799999999999,0.829295062,855.0,0.837571886,1504.0,0.756430233,2142.0,0.689963136
641.0,0.860554741,892.3799999999999,0.824751141,882.36,0.833116821,1552.0,0.750088061,2210.0,0.682193037
661.0,0.856910319,920.18,0.820251727,909.72,0.828701346,1600.0,0.743821478,2278.0,0.674535644
681.0,0.853296048,947.9799999999999,0.815795022,937.0799999999999,0.824324498,1648.0,0.737628662,2346.0,0.666988461
701.0,0.849712138,975.78,0.811380346,964.4399999999999,0.81998522,1696.0,0.731508496,2414.0,0.659549844
721.0,0.846161005,1003.5799999999999,0.807008113,991.8,0.815683189,1744.0,0.725460951,2482.0,0.652218779
741.0,0.842639979,1031.3799999999999,0.802676645,1019.16,0.811418237,1792.0,0.719484432,2550.0,0.644993585
761.0,0.839145492,1059.1799999999998,0.798386361,1046.52,0.807189763,1840.0,0.713576954,2618.0,0.637871816
781.0,0.835679477,1086.98,0.794134814,1073.8799999999999,0.802997025,1888.0,0.707736771,2686.0,0.630851026
801.0,0.832238935,1114.78,0.789922568,1101.24,0.798839201,1936.0,0.701962202,2754.0,0.623928908
821.0,0.828824857,1142.58,0.78574909,1128.6,0.794715604,1984.0,0.696252732,2822.0,0.617102853
841.0,0.825436743,1170.3799999999999,0.781612295,1155.96,0.79062569,2032.0,0.690607293,2890.0,0.610371188
861.0,0.822075276,1198.1799999999998,0.777511313,1183.32,0.786569503,2080.0,0.685025033,2958.0,0.603732111
881.0,0.818738756,1225.98,0.773445502,1210.68,0.782547072,2128.0,0.679506143,3026.0,0.597183729
901.0,0.815426534,1253.78,0.769415758,1238.04,0.778557455,2176.0,0.674049285,3094.0,0.59072463
921.0,0.812136269,1281.58,0.765421442,1265.3999999999999,0.774599344,2224.0,0.668653447,3162.0,0.584353456
941.0,0.808869589,1309.3799999999999,0.76146086,1292.76,0.770672005,2272.0,0.663316948,3230.0,0.578068038
961.0,0.805626572,1337.1799999999998,0.75753235,1320.12,0.766775456,2320.0,0.658038085,3298.0,0.571866338
981.0,0.802405534,1364.9799999999998,0.753635521,1347.48,0.762909105,2368.0,0.652816071,3366.0,0.565746953
1001.0,0.799206872,1392.78,0.749771011,1374.84,0.759072882,2416.0,0.647650201,3434.0,0.559708696
1021.0,0.796032397,1420.58,0.74593935,1402.2,0.755266389,2464.0,0.642538295,3502.0,0.553750963
1041.0,0.792879862,1448.3799999999999,0.742137155,1429.56,0.751489444,2512.0,0.637480517,3570.0,0.547872502
1061.0,0.789747544,1476.1799999999998,0.738364466,1456.92,0.747741471,2560.0,0.632476108,3638.0,0.542071539
1081.0,0.786636426,1503.9799999999998,0.73462216,1484.28,0.744022337,2608.0,0.627524471,3706.0,0.536346407
1101.0,0.783548116,1531.78,0.73090953,1511.6399999999999,0.740331814,2656.0,0.622624983,3774.0,0.530696293
1121.0,0.78048171,1559.58,0.727226031,1539.0,0.73666968,2704.0,0.617776209,3842.0,0.525120842
1141.0,0.777436221,1587.3799999999999,0.723571226,1566.36,0.733035288,2752.0,0.612976815,3910.0,0.519618524
1161.0,0.774412279,1615.1799999999998,0.719945246,1593.72,0.729428509,2800.0,0.60822686,3978.0,0.514187134
1181.0,0.771408228,1642.9799999999998,0.716346223,1621.08,0.725848771,2848.0,0.603527151,4046.0,0.508824552
1201.0,0.768423519,1670.78,0.712774293,1648.44,0.72229562,2896.0,0.598876705,4114.0,0.503530032
1221.0,0.765458993,1698.58,0.709229649,1675.8,0.718768746,2944.0,0.594274345,4182.0,0.498302764
1241.0,0.762514933,1726.3799999999999,0.705713359,1703.1599999999999,0.715267184,2992.0,0.589719811,4250.0,0.4931421
1261.0,0.759590376,1754.1799999999998,0.702224877,1730.52,0.711790595,3040.0,0.585211591,4318.0,0.488046892
1281.0,0.756685496,1781.9799999999998,0.698765374,1757.8799999999999,0.708338813,3088.0,0.58074845,4386.0,0.483015565
1301.0,0.753797317,1809.78,0.695331936,1785.24,0.704911915,3136.0,0.576330291,4454.0,0.478047368
1321.0,0.75092902,1837.58,0.691924557,1812.6,0.701509524,3184.0,0.571956466,4522.0,0.473142439
