B5_x,B5_y,B4_x,B4_y,B3_x,B3_y,B2_x,B2_y,B1_x,B1_y
4.6e-08,1.19e-07,2.1e-08,0.0,4.3e-08,0.0,1.03e-07,1.59e-07,2.06e-07,0.0
4.7e-08,0.0,2.1e-08,0.0,4.4e-08,1.25e-07,1.06e-07,0.0,2.13e-07,0.0
4.9e-08,0.0,2.2e-08,0.0,4.6e-08,0.0,1.1e-07,0.0,2.19e-07,0.0
5e-08,0.0,2.3e-08,0.0,4.7e-08,0.0,1.13e-07,0.0,2.26e-07,0.0
5.1e-08,0.0,2.3e-08,0.0,4.9e-08,0.0,1.17e-07,1.59e-07,2.34e-07,0.0
5.3e-08,0.0,2.4e-08,0.0,5e-08,0.0,1.2e-07,0.0,2.41e-07,0.0
5.5e-08,0.0,2.5e-08,0.0,5.2e-08,0.0,1.24e-07,0.0,2.49e-07,0.0
5.6e-08,0.0,2.5e-08,0.0,5.3e-08,0.0,1.28e-07,0.0,2.57e-07,0.0
5.8e-08,0.0,2.6e-08,0.0,5.5e-08,0.0,1.32e-07,0.0,2.65e-07,0.0
5.9e-08,0.0,2.7e-08,0.0,5.7e-08,1.25e-07,1.36e-07,0.0,2.74e-07,0.0
6.1e-08,0.0,2.8e-08,0.0,5.9e-08,1.25e-07,1.4e-07,0.0,2.82e-07,0.0
6.3e-08,0.0,2.9e-08,0.0,6e-08,0.0,1.45e-07,0.0,2.91e-07,0.0
6.5e-08,0.0,3e-08,0.0,6.2e-08,0.0,1.49e-07,0.0,3.01e-07,2.26e-07
6.7e-08,0.0,3.1e-08,0.0,6.4e-08,1.25e-07,1.54e-07,0.0,3.1e-07,0.0
6.8e-08,0.0,3.1e-08,0.0,6.6e-08,1.25e-07,1.59e-07,0.0,3.2e-07,0.0
7e-08,0.0,3.2e-08,0.0,6.8e-08,0.0,1.64e-07,0.0,3.31e-07,0.0
7.2e-08,0.0,3.3e-08,0.0,7e-08,0.0,1.69e-07,0.0,3.41e-07,2.26e-07
7.5e-08,0.0,3.4e-08,0.0,7.3e-08,1.25e-07,1.74e-07,0.0,3.52e-07,0.0
7.7e-08,0.0,3.6e-08,0.0,7.5e-08,0.0,1.8e-07,0.0,3.63e-07,0.0
7.9e-08,0.0,3.7e-08,0.0,7.7e-08,0.0,1.85e-07,0.0,3.75e-07,0.0
8.1e-08,0.0,3.8e-08,0.0,8e-08,0.0,1.91e-07,0.0,3.87e-07,0.0
8.4e-08,0.0,3.9e-08,0.0,8.2e-08,0.0,1.97e-07,0.0,3.99e-07,0.0
8.6e-08,0.0,4e-08,0.0,8.5e-08,0.0,2.03e-07,0.0,4.12e-07,0.0
8.8e-08,0.0,4.1e-08,0.0,8.7e-08,0.0,2.1e-07,0.0,4.25e-07,0.0
9.1e-08,0.0,4.3e-08,0.0,9e-08,0.0,2.16e-07,0.0,4.39e-07,0.0
9.4e-08,0.0,4.4e-08,0.0,9.3e-08,0.0,2.23e-07,0.0,4.53e-07,0.0
9.6e-08,0.0,4.5e-08,0.0,9.6e-08,0.0,2.3e-07,0.0,4.68e-07,0.0
9.9e-08,0.0,4.7e-08,0.0,9.9e-08,0.0,2.37e-07,0.0,4.83e-07,0.0
1.02e-07,0.0,4.8e-08,0.0,1.02e-07,0.0,2.45e-07,0.0,4.98e-07,0.0
1.05e-07,0.0,5e-08,0.0,1.05e-07,0.0,2.52e-07,0.0,5.14e-07,0.0
1.08e-07,0.0,5.1e-08,0.0,1.08e-07,1.25e-07,2.6e-07,0.0,5.31e-07,2.26e-07
1.11e-07,0.0,5.3e-08,0.0,1.12e-07,0.0,2.68e-07,0.0,5.48e-07,0.0
1.14e-07,0.0,5.4e-08,0.0,1.15e-07,0.0,2.77e-07,0.0,5.65e-07,0.0
1.17e-07,0.0,5.6e-08,0.0,1.19e-07,0.0,2.85e-07,1.59e-07,5.83e-07,0.0
1.21e-07,0.0,5.8e-08,0.0,1.23e-07,0.0,2.94e-07,1.59e-07,6.02e-07,4.53e-07
1.24e-07,0.0,6e-08,0.0,1.26e-07,0.0,3.04e-07,0.0,6.21e-07,0.0
1.28e-07,0.0,6.1e-08,0.0,1.3e-07,0.0,3.13e-07,0.0,6.41e-07,0.0
